order_id,customer_id,product_id,order_date,qty,amount_paid,payment_type,star_rating,customer_comment
ORD001,C001,MP001,2024-12-20,2,798,UPI,5,"Delicious margherita, loved it!"
ORD002,C001,MP007,2024-12-18,1,199,Credit Card,4,"Good garlic bread"
ORD003,C002,MP002,2024-12-20,1,549,UPI,5,"Amazing pepperoni pizza, crispy crust!"
ORD004,C002,MP009,2024-12-15,2,100,Cash,5,"Cold coke, perfect with pizza"
ORD005,C003,MP005,2024-12-19,1,599,UPI,5,"BBQ chicken was fantastic, will order again"
ORD006,C003,MP004,2024-12-10,2,998,EMI,4,"Good paneer tikka pizza"
ORD007,C004,MP003,2024-12-17,1,449,UPI,4,"Fresh veggies, tasty farmhouse pizza"
ORD008,C004,MP008,2024-12-12,1,249,Credit Card,5,"Cheese garlic bread is amazing"
ORD009,C005,MP006,2024-12-15,3,1407,UPI,5,"Veggie supreme is my favorite"
ORD010,C005,MP001,2024-12-08,1,399,Cash,4,"Good quality margherita"
ORD011,C006,MP002,2024-12-18,2,1098,UPI,5,"Love pepperoni pizza from meta pizza"
ORD012,C006,MP007,2024-12-20,1,199,UPI,4,"Decent garlic bread"
ORD013,C007,MP004,2024-12-14,1,499,UPI,5,"Paneer tikka is delicious"
ORD014,C007,MP010,2024-12-10,3,150,Cash,4,"Sprite is refreshing"
ORD015,C008,MP005,2024-12-19,1,599,UPI,5,"BBQ chicken pizza is perfect"
