item_id,item_name,category,subcategory,brand,price,original_price,discount_percentage,stock_quantity,description,seasonal_relevance,festival_relevance,region_popular,specifications,keywords
I001,Premium Basmati Rice 5kg,Groceries,Staples,Royal Chef,450,550,18,500,"Long grain aromatic basmati rice, aged for 2 years, perfect for biryani and pulao",All Seasons,"Diwali,Eid,Pongal,Onam","North,South,East,West","Grain Length: Extra Long,Aging: 2 Years,Type: Premium Basmati","rice,basmati,staples,premium,biryani"
I002,Fortune Refined Sunflower Oil 5L,Groceries,Cooking Oils,Fortune,650,750,13,350,"100% pure sunflower oil, rich in Vitamin E, ideal for daily cooking",All Seasons,"Diwali,Holi","North,South,East,West","Volume: 5L,Type: Refined,Vitamin E: High","oil,cooking,sunflower,fortune,healthy"
I003,Tata Tea Premium 1kg,Groceries,Beverages,Tata Tea,420,480,12,450,"Blended tea leaves from Assam and Darjeeling, strong aroma",All Seasons,,"North,East","Weight: 1kg,Blend: Assam + Darjeeling,Type: Black Tea","tea,beverage,tata,premium,chai"
I004,Amul Butter 500g,Groceries,Dairy,Amul,250,270,7,600,"Fresh creamy butter, made from pure milk, rich in taste",Winter,"Christmas,New Year","North,West,East","Weight: 500g,Type: Salted,Fat: 80%","butter,amul,dairy,fresh,creamy"
I005,Samsung 43 inch Smart TV,Electronics,Television,Samsung,32999,42999,23,45,"Full HD Smart TV with built-in WiFi, screen mirroring, 3 HDMI ports",All Seasons,"Diwali,Dussehra,New Year","North,South,East,West","Screen: 43 inch,Resolution: Full HD,Smart: Yes,HDMI: 3","tv,smart tv,samsung,electronics,led"
I006,boAt Rockerz 450 Headphones,Electronics,Audio,boAt,1499,2999,50,200,"Wireless Bluetooth headphones, 15 hours playback, extra bass",All Seasons,"Diwali,Christmas","North,South,East,West","Battery: 15 hrs,Connectivity: Bluetooth,Driver: 40mm,Bass: Extra","headphones,boat,wireless,bluetooth,audio"
I007,LG 260L Refrigerator,Electronics,Appliances,LG,24999,29999,17,30,"Double door frost free refrigerator, energy efficient, smart inverter",Summer,Summer Sale,"South,West","Capacity: 260L,Type: Frost Free,Energy: 4 Star,Warranty: 1 Year","fridge,refrigerator,lg,appliances,cooling"
I008,Prestige Induction Cooktop,Home & Kitchen,Cookware,Prestige,2999,4499,33,150,"2000W induction cooktop with automatic voltage regulator, feather touch buttons",All Seasons,"Diwali,Griha Pravesh","North,South,East,West","Power: 2000W,Controls: Touch,Safety: Auto Off,Warranty: 1 Year","induction,cooktop,prestige,kitchen,cooking"
I009,Milton Thermosteel Flask 1L,Home & Kitchen,Storage,Milton,899,1299,31,300,"Hot & cold vacuum insulated flask, keeps beverages hot for 24 hours",Winter,,"North,East,West","Capacity: 1L,Material: Stainless Steel,Insulation: Vacuum,Duration: 24 hrs","flask,milton,thermos,insulated,steel"
I010,Havells Room Heater,Electronics,Home Appliances,Havells,3499,4999,30,80,"2000W room heater with adjustable thermostat, overheat protection",Winter,"Christmas,New Year","North,East","Power: 2000W,Type: Fan Heater,Safety: Overheat Protection,Coverage: 200 sq ft","heater,havells,room heater,winter,warming"
I011,Puma Running Shoes,Fashion,Footwear,Puma,2999,5999,50,120,"Lightweight sports shoes with air mesh, perfect for running and gym",All Seasons,"New Year,Fitness Week","North,South,East,West","Material: Mesh,Sole: Rubber,Type: Running,Weight: 250g","shoes,puma,running,sports,footwear"
I012,Levis Mens Jeans,Fashion,Clothing,Levis,2499,3999,37,200,"Classic fit denim jeans, comfortable stretch fabric",All Seasons,"Diwali,Christmas","North,West,South","Material: Denim,Fit: Regular,Stretch: Yes,Color: Dark Blue","jeans,levis,denim,fashion,mens"
I013,Fabindia Cotton Kurta,Fashion,Ethnic Wear,Fabindia,1899,2499,24,180,"100% cotton kurta for men, traditional Indian wear",All Seasons,"Diwali,Holi,Eid,Raksha Bandhan","North,West,East","Material: Cotton,Type: Kurta,Fit: Regular,Wash: Machine","kurta,fabindia,ethnic,cotton,traditional"
I014,Lakme 9to5 Lipstick,Beauty,Makeup,Lakme,399,499,20,400,"Matte finish lipstick, long lasting 12 hours, enriched with Vitamin E",All Seasons,"Karwa Chauth,Diwali,New Year","North,South,West","Finish: Matte,Duration: 12 hrs,Shade Range: 20,Vitamin E: Yes","lipstick,lakme,makeup,beauty,cosmetics"
I015,Lotus Herbals Face Cream,Beauty,Skincare,Lotus,499,699,29,250,"Herbal face cream with SPF 25, whitening and anti-aging",Summer,Summer Care,"South,East,West","SPF: 25,Volume: 50g,Type: Day Cream,Herbal: Yes","cream,lotus,skincare,face,herbal"
I016,Himalaya Hair Oil,Beauty,Haircare,Himalaya,199,249,20,500,Anti-hair fall hair oil with natural ingredients,All Seasons,,"North,South,East,West","Volume: 200ml,Type: Hair Oil,Natural: Yes,Benefit: Anti Hair Fall","hair oil,himalaya,haircare,natural,oil"
I017,Yonex Badminton Racket,Sports,Racquet Sports,Yonex,2799,3999,30,60,"Professional badminton racket, lightweight carbon fiber",All Seasons,Sports Week,"South,East,North","Material: Carbon Fiber,Weight: 85g,Grip: G4,Level: Professional","badminton,yonex,racket,sports,carbon"
I018,Nivia Football Size 5,Sports,Team Sports,Nivia,799,1099,27,150,"Official size 5 football, hand stitched, durable rubber bladder",All Seasons,Sports Day,"North,East,West","Size: 5,Material: PU,Stitching: Hand,Bladder: Rubber","football,nivia,sports,ball,outdoor"
